author	year	category	condemned	eligible
Theophilus of Alexandria	412	Eastern & Byzantine Theology		yes
Theophilus of Antioch	185	Early Fathers (Pre-Nicaea)		yes
Theophylact of Ohrid	1107	Eastern & Byzantine Theology		no
Thietland of Einsiedeln	945	Western & Medieval Theology		no
Thomas Aquinas	1274	Western & Medieval Theology		no
Ticonius	390	Western & Medieval Theology		yes
Titus of Bostra	378	Eastern & Byzantine Theology		yes
Tyrannius Rufinus	411	Western & Medieval Theology		yes
Ulrich Zwingli	1531	Reformation & Modern		no
Valentinus	180	Early Fathers (Pre-Nicaea)	yes	no
Valerian of Cimiez	460	Western & Medieval Theology		yes
Venantius Fortunatus	609	Western & Medieval Theology		yes
Venerable Barsanuphius and John the Prophet	545	Eastern & Byzantine Theology		yes
Verecundus of Junca	552	Western & Medieval Theology		yes
Victor Vitensis	500	Western & Medieval Theology		yes
Victor of Cartenna	500	Western & Medieval Theology		yes
Victorinus of Pettau	304	Early Fathers (Pre-Nicaea)		yes
Vigilius of Thapsus	484	Western & Medieval Theology		yes
Vincent of Lérins	445	Western & Medieval Theology		yes
Walafrid Strabo	849	Western & Medieval Theology		no
